Person,Meal,Date
person1,Had a grilled chicken breast with quinoa for lunch.,2025-02-02
person1,Drank a hot cappuccino at breakfast.,2025-01-18
person1,Drank a latte after my morning jog.,2025-02-01
person1,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-26
person1,Had roasted chicken with mashed potatoes for lunch.,2025-01-15
person1,Had a bowl of chili with cornbread for lunch.,2025-01-11
person1,Ate a caprese salad for lunch.,2025-01-04
person1,Ate grilled vegetables with couscous for lunch.,2025-01-26
person1,Had a lamb curry with rice for dinner.,2025-01-06
person1,Had a shrimp stir-fry with broccoli and rice for dinner.,2025-01-14
person1,Drank a peach iced tea in the afternoon.,2025-01-18
person1,Ate a veggie wrap for lunch.,2025-01-24
person1,Ate a yogurt parfait with granola for breakfast.,2025-01-14
person1,Drank water throughout the day.,2025-02-01
person1,Ate baked salmon with roasted vegetables for dinner.,2025-01-04
person1,Had a cheeseburger with coleslaw for lunch.,2025-01-21
person1,Drank orange juice alongside my breakfast.,2025-01-06
person1,Drank a hot cup of mulled wine on a cold evening.,2025-01-24
person1,Ate a bagel with smoked salmon for breakfast.,2025-01-23
person1,Drank a cappuccino after lunch.,2025-01-30
person1,Drank a ginger tea in the evening.,2025-01-09
person1,Had a club sandwich for lunch.,2025-01-12
person2,Ate a yogurt parfait with granola for breakfast.,2025-01-05
person2,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-26
person2,Ate a vegetable frittata for breakfast.,2025-02-03
person2,Ate a chicken sandwich with fries for lunch.,2025-01-12
person2,Had a bagel with cream cheese for breakfast.,2025-02-03
person2,Ate a caprese salad for lunch.,2025-01-05
person2,Had a pulled pork sandwich for lunch.,2025-01-28
person2,Drank hot chocolate after dinner.,2025-01-30
person2,Had roasted salmon with potatoes and asparagus for dinner.,2025-01-19
person2,Ate a fruit salad with yogurt for breakfast.,2025-01-13
person2,Drank a matcha latte in the morning.,2025-01-13
person2,Drank a peach iced tea in the afternoon.,2025-01-29
person2,Had a cheeseburger with coleslaw for lunch.,2025-01-08
person2,Ate a grilled cheese with tomato soup for lunch.,2025-01-05
person2,Had a bowl of chili with cornbread for lunch.,2025-01-29
person2,Had a baked potato with sour cream for dinner.,2025-01-16
person2,Drank a green tea in the afternoon.,2025-01-20
person2,Drank a smoothie with mango and coconut milk in the morning.,2025-01-23
person2,Ate a vegetable omelette for breakfast.,2025-01-09
person2,Ate a quinoa salad with feta cheese for lunch.,2025-01-21
person2,Had grilled pork chops with applesauce for dinner.,2025-01-15
person2,Drank a cold glass of iced tea with lemon.,2025-01-18
person2,Drank iced tea at lunch.,2025-01-06
person2,Drank a chai latte in the morning.,2025-01-17
person2,Had grilled chicken and vegetables for dinner.,2025-01-29
person2,Had grilled shrimp with rice for dinner.,2025-01-04
person2,Drank water throughout the day.,2025-01-10
person2,Had a cheeseburger with fries for lunch.,2025-01-31
person2,Drank a cappuccino after lunch.,2025-02-01
person2,Had a grilled cheese sandwich for lunch.,2025-01-09
person2,Had chicken wings with a side of ranch dressing for dinner.,2025-02-03
person3,Ate baked ziti with garlic bread for dinner.,2025-01-25
person3,Drank a cold brew coffee at noon.,2025-01-22
person3,Drank iced tea at lunch.,2025-01-28
person3,Drank a milkshake after dinner.,2025-01-23
person3,Drank an espresso in the afternoon.,2025-01-17
person3,Ate an egg salad sandwich for breakfast.,2025-01-29
person3,Had a cheeseburger with fries for lunch.,2025-01-11
person3,Drank a chai latte in the morning.,2025-01-09
person3,Drank a glass of lemonade with lunch.,2025-01-27
person3,Ate a grilled cheese with tomato soup for lunch.,2025-02-01
person3,Had a grilled chicken breast with quinoa for lunch.,2025-01-07
person3,Ate a yogurt parfait with granola for breakfast.,2025-01-26
person3,Had a cheeseburger with coleslaw for lunch.,2025-01-09
person3,Ate a shrimp cocktail as a starter for dinner.,2025-01-16
person3,Drank a hot cappuccino at breakfast.,2025-01-26
person3,Ate a bagel with smoked salmon for breakfast.,2025-01-19
person3,Ate a poached egg on avocado toast for breakfast.,2025-01-24
person3,Had a bowl of chili with cornbread for lunch.,2025-01-05
person3,Ate a quinoa salad with feta cheese for lunch.,2025-01-16
person3,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-23
person3,Had avocado toast for breakfast.,2025-01-06
person3,Had spaghetti with marinara sauce for dinner.,2025-01-31
person3,Ate a caprese salad for lunch.,2025-01-05
person3,Had fish tacos for dinner.,2025-01-13
person3,Drank a protein shake after my workout.,2025-02-02
person3,Ate a vegetable stir-fry with rice for lunch.,2025-01-04
person3,Ate a vegetable frittata for breakfast.,2025-01-23
person4,Had chicken wings with a side of ranch dressing for dinner.,2025-01-27
person4,Ate a yogurt parfait with granola for breakfast.,2025-01-06
person4,Had a smoothie bowl with granola for breakfast.,2025-01-23
person4,Ate a turkey burger with a side salad for lunch.,2025-01-15
person4,Ate a vegetable frittata for breakfast.,2025-01-11
person4,Drank a peach iced tea in the afternoon.,2025-01-28
person4,Had scrambled eggs with toast for breakfast.,2025-01-14
person4,Had a bagel with cream cheese for breakfast.,2025-01-24
person4,Ate a vegetable omelette for breakfast.,2025-01-10
person4,Ate a caprese salad for lunch.,2025-01-31
person4,Drank a protein shake after my workout.,2025-01-20
person4,Drank a hot cup of mulled wine on a cold evening.,2025-01-09
person4,Drank a smoothie with mango and coconut milk in the morning.,2025-01-08
person4,Drank a green tea in the afternoon.,2025-01-16
person4,Ate a bagel with smoked salmon for breakfast.,2025-01-23
person4,Drank a hot cup of tea when I woke up.,2025-01-22
person4,A pasta primavera for dinner.,2025-01-28
person4,Ate pancakes with maple syrup for breakfast.,2025-01-25
person4,Had a bowl of minestrone soup for dinner.,2025-01-23
person4,Drank a glass of lemonade with lunch.,2025-01-10
person4,Had French toast with strawberries for breakfast.,2025-01-18
person5,Had grilled chicken and vegetables for dinner.,2025-01-04
person5,Ate a veggie wrap for lunch.,2025-01-07
person5,Drank a cranberry juice in the morning.,2025-02-02
person5,Drank a mango lassi after dinner.,2025-01-14
person5,Drank a glass of wine with dinner.,2025-01-24
person5,Had a pulled pork sandwich for lunch.,2025-01-24
person5,Ate a turkey and cheese sandwich for lunch.,2025-01-04
person5,Ate a chicken sandwich with fries for lunch.,2025-01-22
person5,Drank a latte after my morning jog.,2025-01-27
person5,Drank a fresh fruit smoothie in the morning.,2025-01-28
person5,Drank a smoothie with mango and coconut milk in the morning.,2025-01-05
person5,Ate a quinoa salad with feta cheese for lunch.,2025-01-22
person5,Ate a vegetable pizza for dinner.,2025-01-27
person5,Ate a cheeseboard with crackers and fruit for dinner.,2025-02-03
person5,Ate an egg salad sandwich for breakfast.,2025-01-11
person5,Had a ham and cheese croissant for breakfast.,2025-01-12
person5,Ate chicken noodle soup for lunch.,2025-01-11
person5,Drank water throughout the day.,2025-01-18
person5,Ate a vegetable omelette for breakfast.,2025-01-28
person5,Drank a chai latte in the morning.,2025-01-13
person5,Had fish tacos for dinner.,2025-01-14
person5,Had lasagna with garlic bread for dinner.,2025-01-18
person5,Drank a hot cup of mulled wine on a cold evening.,2025-01-19
person5,Had a shrimp stir-fry with broccoli and rice for dinner.,2025-01-16
person5,Had a smoothie bowl with granola for breakfast.,2025-01-26
person6,Drank a cold brew coffee at noon.,2025-01-05
person6,Had grilled shrimp with rice for dinner.,2025-01-27
person6,Ate a grilled cheese with tomato soup for lunch.,2025-01-26
person6,Ate a veggie wrap for lunch.,2025-01-21
person6,Had grilled chicken and vegetables for dinner.,2025-01-11
person6,Had a club sandwich for lunch.,2025-02-03
person6,Had a bagel with cream cheese for breakfast.,2025-01-19
person6,Ate a chicken sandwich with fries for lunch.,2025-02-01
person6,Ate a bowl of cereal with milk for breakfast.,2025-01-31
person6,Ate a caprese salad for lunch.,2025-01-17
person6,Drank a green tea in the afternoon.,2025-01-06
person6,Had a bowl of chili with cornbread for lunch.,2025-01-10
person6,Ate a vegetable omelette for breakfast.,2025-01-22
person6,Drank a glass of lemonade with lunch.,2025-01-20
person6,Had French toast with strawberries for breakfast.,2025-01-23
person6,Drank a hot cup of tea when I woke up.,2025-01-11
person6,Had a grilled chicken breast with quinoa for lunch.,2025-01-20
person6,Drank orange juice alongside my breakfast.,2025-01-06
person6,Had lasagna with garlic bread for dinner.,2025-01-13
person6,Ate a bacon and egg sandwich for lunch.,2025-01-06
person6,Ate a bowl of ramen with pork and egg for dinner.,2025-01-23
person7,Ate a vegetable pizza for dinner.,2025-01-21
person7,Ate a cheeseboard with crackers and fruit for dinner.,2025-01-22
person7,Drank a glass of iced water with lunch.,2025-01-18
person7,Ate baked ziti with garlic bread for dinner.,2025-01-12
person7,Had a cheeseburger with fries for lunch.,2025-01-04
person7,Drank a cranberry juice in the morning.,2025-01-26
person7,Ate a poached egg on avocado toast for breakfast.,2025-01-07
person7,Drank a milkshake after dinner.,2025-01-29
person7,Drank a latte after my morning jog.,2025-01-09
person7,Drank hot chocolate after dinner.,2025-01-14
person7,Had oatmeal with berries for breakfast.,2025-02-03
person7,Had grilled pork chops with applesauce for dinner.,2025-01-29
person7,Had a club sandwich for lunch.,2025-01-22
person7,Drank a smoothie with spinach and banana in the morning.,2025-01-25
person7,Drank a glass of wine with dinner.,2025-01-22
person7,Ate a shrimp cocktail as a starter for dinner.,2025-01-22
person7,Drank a cold glass of iced tea with lemon.,2025-01-11
person7,Had a slice of chocolate cake for dessert.,2025-02-03
person7,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-19
person7,Had a pulled pork sandwich for lunch.,2025-01-18
person7,Drank water throughout the day.,2025-01-21
person7,Had a beef stew with bread for dinner.,2025-01-06
person7,Drank an espresso in the afternoon.,2025-01-12
person7,Drank a hot cappuccino at breakfast.,2025-01-10
person7,Ate chicken noodle soup for lunch.,2025-01-04
person7,Ate a vegetable stir-fry with rice for lunch.,2025-01-08
person7,Ate a vegetable omelette for breakfast.,2025-01-15
person7,A pasta primavera for dinner.,2025-01-04
person8,Had grilled shrimp with rice for dinner.,2025-01-10
person8,A pasta primavera for dinner.,2025-01-26
person8,Ate a vegetable stir-fry with rice for lunch.,2025-01-29
person8,Drank a smoothie with mango and coconut milk in the morning.,2025-01-08
person8,Drank a fresh fruit smoothie in the morning.,2025-01-06
person8,Ate a caprese salad for lunch.,2025-01-28
person8,Ate baked salmon with roasted vegetables for dinner.,2025-02-01
person8,Had a grilled chicken breast with quinoa for lunch.,2025-01-21
person8,Ate a spinach and cheese quiche for breakfast.,2025-01-04
person8,Ate a shrimp cocktail as a starter for dinner.,2025-01-07
person8,Ate a turkey burger with a side salad for lunch.,2025-01-05
person8,Drank orange juice alongside my breakfast.,2025-01-18
person8,Drank a chai latte in the morning.,2025-01-05
person8,Ate chicken noodle soup for lunch.,2025-01-20
person8,Ate a tuna salad for lunch.,2025-01-05
person8,Drank water throughout the day.,2025-02-02
person8,Drank a peach iced tea in the afternoon.,2025-01-26
person8,Ate a fruit salad with yogurt for breakfast.,2025-01-11
person8,Had a bagel with cream cheese for breakfast.,2025-01-20
person8,Ate a bagel with smoked salmon for breakfast.,2025-01-26
person8,Ate a grilled cheese with tomato soup for lunch.,2025-01-31
person8,Drank an espresso in the afternoon.,2025-01-25
person8,Ate a bacon and egg sandwich for lunch.,2025-01-22
person8,Had a bowl of chili with cornbread for lunch.,2025-01-08
person8,Ate a bowl of cereal with milk for breakfast.,2025-01-15
person8,Ate a burrito bowl for lunch with rice and beans.,2025-01-10
person8,Ate a Caesar salad for dinner.,2025-01-08
person8,Drank a hot cappuccino at breakfast.,2025-01-20
person8,Ate baked ziti with garlic bread for dinner.,2025-01-10
person8,Had a shrimp stir-fry with broccoli and rice for dinner.,2025-01-26
person8,Ate a turkey and cheese sandwich for lunch.,2025-01-09
person8,Had lasagna with garlic bread for dinner.,2025-01-18
person9,Drank a hot cup of tea when I woke up.,2025-01-25
person9,Ate a vegetable frittata for breakfast.,2025-02-02
person9,Drank a peach iced tea in the afternoon.,2025-01-08
person9,Had roasted salmon with potatoes and asparagus for dinner.,2025-01-31
person9,Ate chicken noodle soup for lunch.,2025-02-01
person9,Ate a bagel with smoked salmon for breakfast.,2025-01-14
person9,Ate a vegetable pizza for dinner.,2025-01-16
person9,Had roasted chicken with mashed potatoes for lunch.,2025-01-27
person9,Had French toast with strawberries for breakfast.,2025-01-13
person9,Had a cheeseburger with coleslaw for lunch.,2025-02-02
person9,Had lasagna with garlic bread for dinner.,2025-01-10
person9,Drank orange juice alongside my breakfast.,2025-01-26
person9,Ate a shrimp cocktail as a starter for dinner.,2025-01-12
person9,Had chicken wings with a side of ranch dressing for dinner.,2025-01-23
person9,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-31
person9,Drank a ginger tea in the evening.,2025-01-19
person9,Had a grilled chicken breast with quinoa for lunch.,2025-01-09
person9,Drank a protein shake after my workout.,2025-01-05
person9,Had oatmeal with berries for breakfast.,2025-01-12
person9,Drank a mango lassi after dinner.,2025-01-10
person9,Had a sandwich with turkey and avocado for lunch.,2025-01-23
person9,Ate a fruit salad with yogurt for breakfast.,2025-01-20
person9,Drank a glass of lemonade with lunch.,2025-01-25
person9,Had a cheeseburger with fries for lunch.,2025-01-27
person9,Drank a cranberry juice in the morning.,2025-01-20
person9,Ate a chicken sandwich with fries for lunch.,2025-01-21
person9,Drank an espresso in the afternoon.,2025-01-17
person9,Ate a vegetable omelette for breakfast.,2025-01-20
person9,Had a poached egg on toast for breakfast.,2025-02-03
person9,Ate a bacon and egg sandwich for lunch.,2025-02-01
person9,Had a bowl of minestrone soup for dinner.,2025-01-08
person9,Had fish tacos for dinner.,2025-01-20
person10,Had a baked potato with sour cream for dinner.,2025-02-01
person10,Had spaghetti with marinara sauce for dinner.,2025-01-04
person10,Drank an espresso in the afternoon.,2025-01-29
person10,Had roasted salmon with potatoes and asparagus for dinner.,2025-02-02
person10,Ate a banana and peanut butter smoothie for breakfast.,2025-01-07
person10,Ate a chicken salad with mixed greens for lunch.,2025-01-14
person10,Drank a glass of sparkling water before dinner.,2025-01-25
person10,Ate grilled vegetables with couscous for lunch.,2025-01-24
person10,Had a cheeseburger with coleslaw for lunch.,2025-02-03
person10,Drank a glass of lemonade with lunch.,2025-01-16
person10,Had a ham and cheese croissant for breakfast.,2025-02-01
person10,Drank a smoothie with mango and coconut milk in the morning.,2025-01-04
person10,Drank a hot cup of tea when I woke up.,2025-01-26
person10,Ate baked ziti with garlic bread for dinner.,2025-01-21
person10,Had a shrimp stir-fry with broccoli and rice for dinner.,2025-01-27
person10,Ate a tuna salad for lunch.,2025-01-28
person10,Drank a protein shake after my workout.,2025-01-20
person10,Ate a turkey and cheese sandwich for lunch.,2025-01-26
person10,Had a bagel with cream cheese for breakfast.,2025-01-08
person10,Had a falafel wrap with hummus for lunch.,2025-01-16
person10,Ate a bowl of ramen with pork and egg for dinner.,2025-01-06
person10,Drank a latte after my morning jog.,2025-01-31
person10,Drank a glass of wine with dinner.,2025-01-17
person10,Ate a vegetable pizza for dinner.,2025-01-17
person10,Ate a bacon and egg sandwich for lunch.,2025-01-14
person10,Drank a mango lassi after dinner.,2025-01-28
person10,Ate pancakes with maple syrup for breakfast.,2025-01-19
person10,Ate a shrimp cocktail as a starter for dinner.,2025-01-14
person10,Had a cheeseburger with fries for lunch.,2025-01-24
person10,Had a beef stew with bread for dinner.,2025-01-24
person10,Ate a vegetable frittata for breakfast.,2025-01-07
person11,Ate chicken noodle soup for lunch.,2025-01-22
person11,Had scrambled eggs with toast for breakfast.,2025-01-09
person11,Drank a hot cup of mulled wine on a cold evening.,2025-01-28
person11,Drank orange juice alongside my breakfast.,2025-01-10
person11,Had a slice of chocolate cake for dessert.,2025-01-15
person11,Ate pancakes with maple syrup for breakfast.,2025-02-03
person11,Ate a vegetable pizza for dinner.,2025-01-06
person11,Ate an egg salad sandwich for breakfast.,2025-01-13
person11,Had fish tacos for dinner.,2025-01-22
person11,Ate a spinach and cheese quiche for breakfast.,2025-01-11
person11,Ate a poached egg on avocado toast for breakfast.,2025-01-26
person11,Drank a glass of wine with dinner.,2025-01-24
person11,Ate a bowl of cereal with milk for breakfast.,2025-02-02
person11,Ate a grilled cheese with tomato soup for lunch.,2025-01-31
person11,Had a slice of pizza for dinner.,2025-01-31
person11,Drank a protein shake after my workout.,2025-01-10
person11,Drank a cranberry juice in the morning.,2025-01-22
person11,Had a cheeseburger with coleslaw for lunch.,2025-01-18
person11,Ate a caprese salad for lunch.,2025-02-03
person11,Had a chicken parmigiana for dinner.,2025-01-19
person11,Drank a glass of iced water with lunch.,2025-01-13
person11,Had grilled pork chops with applesauce for dinner.,2025-01-18
person11,Had a poached egg on toast for breakfast.,2025-01-04
person11,Drank a milkshake after dinner.,2025-01-04
person11,Had a club sandwich for lunch.,2025-01-09
person11,Had a bowl of chili with cornbread for lunch.,2025-01-17
person12,Ate a poached egg on avocado toast for breakfast.,2025-01-26
person12,Had scrambled eggs with toast for breakfast.,2025-01-23
person12,Had roasted salmon with potatoes and asparagus for dinner.,2025-01-15
person12,Drank a cold glass of iced tea with lemon.,2025-01-14
person12,Ate chicken noodle soup for lunch.,2025-01-30
person12,Drank a mango lassi after dinner.,2025-01-11
person12,Had fish tacos for dinner.,2025-01-18
person12,Drank a hot cup of mulled wine on a cold evening.,2025-01-17
person12,Had a club sandwich for lunch.,2025-01-28
person12,Ate a vegetable omelette for breakfast.,2025-02-01
person12,Drank iced tea at lunch.,2025-01-22
person12,Ate a turkey and cheese sandwich for lunch.,2025-01-31
person12,Drank a latte after my morning jog.,2025-01-19
person12,"Ate a sandwich with ham, cheese, and mustard for lunch.",2025-01-20
person12,Drank a cold brew coffee at noon.,2025-01-08
person12,Had a bagel with cream cheese for breakfast.,2025-01-20
person12,Had a beef stew with bread for dinner.,2025-01-13
person12,Ate an egg salad sandwich for breakfast.,2025-01-10
person12,Drank a chai latte in the morning.,2025-01-14
person12,Ate a bowl of ramen with pork and egg for dinner.,2025-01-30
person12,Ate a vegetable frittata for breakfast.,2025-01-15
person12,Drank a cranberry juice in the morning.,2025-02-02
person12,Had grilled shrimp with rice for dinner.,2025-01-24
person12,Ate a bacon and egg sandwich for lunch.,2025-01-17
person12,Drank a smoothie with mango and coconut milk in the morning.,2025-01-23
person12,Had a cheeseburger with fries for lunch.,2025-01-11
person12,Ate a chicken salad with mixed greens for lunch.,2025-01-29
person12,Had a pulled pork sandwich for lunch.,2025-01-08
person12,Ate a bowl of cereal with milk for breakfast.,2025-01-14
person12,Had a lamb curry with rice for dinner.,2025-01-05
person12,Had a ham and cheese croissant for breakfast.,2025-01-09
person12,Drank hot chocolate after dinner.,2025-01-11
person12,Had a slice of pizza for dinner.,2025-01-11
person13,Had roasted chicken with mashed potatoes for lunch.,2025-01-05
person13,Had roasted salmon with potatoes and asparagus for dinner.,2025-01-18
person13,Had a baked potato with sour cream for dinner.,2025-01-30
person13,Had a slice of pizza for dinner.,2025-01-24
person13,Ate a grilled cheese with tomato soup for lunch.,2025-01-08
person13,Ate a spinach and cheese quiche for breakfast.,2025-01-12
